EPCI;LIBEPCI;DEP
241500230;Communauté d'agglomération du Bassin d'Aurillac;15
241501089;Communauté de communes Cère et Goul en Carladès;15
200072049;Communauté de communes de Charente Limousine;16
200043016;Communauté de communes Val de Charente;16
200068914;Communauté de communes La Rochefoucauld porte du Périgord;16
200072023;Communauté de communes Cœur de Charente;16
200070514;Communauté d'agglomération du Grand Cognac;16
200029734;Communauté de communes des 4B Sud Charente;16
200071827;Communauté d'agglomération du Grand Angoulême;16
200070282;Communauté de communes Lavalette Tude Dronne;16
241600303;Communauté de communes du Rouillacais;16
200041523;Communauté de communes de la Haute Saintonge;17
200041614;Communauté de communes Aunis Sud;17
200041762;Communauté d'agglomération Rochefort Océan;17
200041499;Communauté de communes Aunis Atlantique;17
241700434;Communauté d'agglomération de La Rochelle;17
200041689;Communauté de communes Vals de Saintonge Communauté;17
241700640;Communauté d'agglomération Royan Atlantique;17
241700459;Communauté de communes de l'Île de Ré;17
241700517;Communauté de communes Cœur de Saintonge;17
241700632;Communauté de communes de Gémozac et de la Saintonge Viticole;17
241700699;Communauté de communes du Bassin de Marennes;17
200036473;Communauté d'agglomération de Saintes - Grandes Rives - L'Agglo;17
241700624;Communauté de communes de l'Île d'Oléron;17
200066330;Communauté de communes Terres du Haut Berry;18
200049484;Communauté de communes Berry Grand Sud;18
241800507;Communauté d'agglomération Bourges Plus;18
200011781;Communauté de communes Portes du Berry entre Loire et Val d'Aubois;18
200000933;Communauté de communes Sauldre et Sologne;18
200032514;Communauté de communes Berry-Loire-Vauvise;18
200036135;Communauté de communes Cœur de France;18
200069227;Communauté de communes Pays Fort Sancerrois Val de Loire;18
241800432;Communauté de communes Les Trois Provinces;18
241800374;Communauté de communes La Septaine;18
241800424;Communauté de communes du Dunois;18
200007177;Communauté de communes Pays de Nérondes;18
200070571;Communauté de communes Cœur de Berry;18
200027076;Communauté de communes Arnon Boischaut Cher;18
241800457;Communauté de communes FerCher;18
200090561;Communauté de communes Vierzon-Sologne-Berry;18
200066645;Communauté de communes Vézère-Monédières-Millesources;19
200066744;Communauté de communes Haute-Corrèze Communauté;19
200066769;Communauté de communes Midi Corrézien;19
200066751;Communauté de communes Xaintrie Val'Dordogne;19
200043172;Communauté d'agglomération du Bassin de Brive;19
241927201;Communauté d'agglomération Tulle Agglo;19
200066603;Communauté de communes du Pays de Lubersac-Pompadour;19
241900133;Communauté de communes de Ventadour - Egletons - Monédières;19
241927243;Communauté de communes du Pays d'Uzerche;19
200070894;Communauté de communes de Gevrey-Chambertin et de Nuits-Saint-Georges;21
200039055;Communauté de communes Ouche et Montagne;21
242100410;Dijon Métropole;21
242101434;Communauté de communes du Pays Châtillonnais;21
200000925;Communauté de communes de la Plaine Dijonnaise;21
